Energy [MeV],Counts
1.2025,0
1.205,0
1.2075,0
1.21,0
1.2125,0
1.215,0
1.2175,0
1.22,0
1.2225,0
1.225,0
1.2275,0
1.23,0
1.2325,0
1.235,0
1.2375,0
1.24,0
1.2425,0
1.245,0
1.2475,0
1.25,0
1.2525,0
1.255,0
1.2575,0
1.26,0
1.2625,0
1.265,0
1.2675,0
1.27,0
1.2725,0
1.275,0
1.2775,0
1.28,0
1.2825,0
1.285,0
1.2875,0
1.29,0
1.2925,0
1.295,0
1.2975,0
1.3,0
1.3025,0
1.305,0
1.3075,0
1.31,0
1.3125,0
1.315,0
1.3175,0
1.32,0
1.3225,0
1.325,0
1.3275,0
1.33,0
1.3325,0
1.335,0
1.3375,0
1.34,0
1.3425,0
1.345,0
1.3475,0
1.35,0
1.3525,0
1.355,0
1.3575,0
1.36,0
1.3625,0
1.365,0
1.3675,0
1.37,0
1.3725,0
1.375,0
1.3775,0
1.38,0
1.3825,0
1.385,0
1.3875,0
1.39,0
1.3925,0
1.395,0
1.3975,0
1.4,0
1.4025,0
1.405,0
1.4075,0
1.41,0
1.4125,0
1.415,0
1.4175,0
1.42,0
1.4225,0
1.425,0
1.4275,0
1.43,0
1.4325,0
1.435,0
1.4375,0
1.44,0
1.4425,0
1.445,0
1.4475,0
1.45,0
1.4525,0
1.455,0
1.4575,0
1.46,0
1.4625,0
1.465,0
1.4675,0
1.47,0
1.4725,0
1.475,0
1.4775,0
1.48,0
1.4825,0
1.485,0
1.4875,0
1.49,0
1.4925,0
1.495,0
1.4975,0
1.5,0
1.5025,0
1.505,0
1.5075,0
1.51,0
1.5125,0
1.515,0
1.5175,0
1.52,0
1.5225,0
1.525,0
1.5275,0
1.53,0
1.5325,0
1.535,0
1.5375,0
1.54,0
1.5425,0
1.545,0
1.5475,0
1.55,0
1.5525,0
1.555,0
1.5575,0
1.56,0
1.5625,0
1.565,0
1.5675,0
1.57,0
1.5725,0
1.575,0
1.5775,0
1.58,0
1.5825,0
1.585,0
1.5875,0
1.59,0
1.5925,0
1.595,0
1.5975,0
1.6,0
1.6025,0
1.605,0
1.6075,0
1.61,0
1.6125,0
1.615,0
1.6175,0
1.62,0
1.6225,0
1.625,0
1.6275,0
1.63,0
1.6325,0
1.635,0
1.6375,0
1.64,0
1.6425,0
1.645,0
1.6475,0
1.65,0
1.6525,0
1.655,0
1.6575,0
1.66,0
1.6625,0
1.665,0
1.6675,0
1.67,0
1.6725,0
1.675,0
1.6775,0
1.68,0
1.6825,0
1.685,0
1.6875,0
1.69,0
1.6925,0
1.695,0
1.6975,0
1.7,0
1.7025,0
1.705,0
1.7075,0
1.71,0
1.7125,0
1.715,0
1.7175,0
1.72,0
1.7225,0
1.725,0
1.7275,0
1.73,0
1.7325,0
1.735,0
1.7375,0
1.74,0
1.7425,0
1.745,0
1.7475,0
1.75,0
1.7525,0
1.755,0
1.7575,0
1.76,0
1.7625,0
1.765,0
1.7675,0
1.77,0
1.7725,0
1.775,0
1.7775,0
1.78,0
1.7825,0
1.785,0
1.7875,0
1.79,0
1.7925,0
1.795,0
1.7975,0
1.8,0
1.8025,0
1.805,0
1.8075,0
1.81,0
1.8125,0
1.815,0
1.8175,0
1.82,0
1.8225,0
1.825,0
1.8275,0
1.83,0
1.8325,0
1.835,0
1.8375,0
1.84,0
1.8425,0
1.845,0
1.8475,0
1.85,0
1.8525,0
1.855,0
1.8575,0
1.86,0
1.8625,0
1.865,0
1.8675,0
1.87,0
1.8725,0
1.875,0
1.8775,0
1.88,0
1.8825,0
1.885,0
1.8875,0
1.89,0
1.8925,0
1.895,0
1.8975,0
1.9,0
1.9025,0
1.905,0
1.9075,0
1.91,0
1.9125,0
1.915,0
1.9175,0
1.92,0
1.9225,0
1.925,0
1.9275,0
1.93,0
1.9325,0
1.935,0
1.9375,0
1.94,0
1.9425,0
1.945,0
1.9475,0
1.95,0
1.9525,0
1.955,0
1.9575,0
1.96,0
1.9625,0
1.965,0
1.9675,0
1.97,0
1.9725,0
1.975,0
1.9775,0
1.98,0
1.9825,0
1.985,0
1.9875,0
1.99,0
1.9925,0
1.995,0
1.9975,0
2,0
2.0025,0
2.005,0
2.0075,0
2.01,0
2.0125,0
2.015,0
2.0175,0
2.02,0
2.0225,0
2.025,0
2.0275,0
2.03,0
2.0325,0
2.035,0
2.0375,0
2.04,0
2.0425,0
2.045,0
2.0475,0
2.05,0
2.0525,0
2.055,0
2.0575,0
2.06,0
2.0625,0
2.065,0
2.0675,0
2.07,0
2.0725,0
2.075,0
2.0775,0
2.08,0
2.0825,0
2.085,0
2.0875,0
2.09,0
2.0925,0
2.095,0
2.0975,0
2.1,0
2.1025,0
2.105,0
2.1075,0
2.11,0
2.1125,0
2.115,0
2.1175,0
2.12,0
2.1225,0
2.125,0
2.1275,0
2.13,0
2.1325,0
2.135,0
2.1375,0
2.14,0
2.1425,0
2.145,0
2.1475,0
2.15,0
2.1525,0
2.155,0
2.1575,0
2.16,0
2.1625,0
2.165,0
2.1675,0
2.17,0
2.1725,0
2.175,0
2.1775,0
2.18,0
2.1825,0
2.185,0
2.1875,0
2.19,0
2.1925,0
2.195,0
2.1975,0
2.2,0
2.2025,0
2.205,0
2.2075,0
2.21,0
2.2125,0
2.215,0
2.2175,0
2.22,0
2.2225,0
2.225,0
2.2275,0
2.23,0
2.2325,0
2.235,0
2.2375,0
2.24,0
2.2425,0
2.245,0
2.2475,0
2.25,0
2.2525,0
2.255,0
2.2575,0
2.26,0
2.2625,0
2.265,0
2.2675,0
2.27,0
2.2725,0
2.275,0
2.2775,0
2.28,0
2.2825,0
2.285,0
2.2875,0
2.29,0
2.2925,0
2.295,0
2.2975,0
2.3,1
2.3025,3
2.305,3
2.3075,1
2.31,1
2.3125,1
2.315,3
2.3175,3
2.32,1
2.3225,8
2.325,8
2.3275,9
2.33,6
2.3325,10
2.335,14
2.3375,14
2.34,18
2.3425,20
2.345,19
2.3475,17
2.35,12
2.3525,16
2.355,17
2.3575,17
2.36,16
2.3625,23
2.365,20
2.3675,30
2.37,42
2.3725,133
2.375,327
2.3775,850
2.38,2315
2.3825,6077
2.385,15085
2.3875,35718
2.39,84152
2.3925,185427
2.395,392209
2.3975,794677
2.4,1.52035e+006
2.4025,2.76879e+006
2.405,4.74342e+006
2.4075,7.63921e+006
2.41,1.14983e+007
2.4125,1.60818e+007
2.415,2.07355e+007
2.4175,2.45126e+007
2.42,2.62854e+007
2.4225,2.5339e+007
2.425,2.1648e+007
2.4275,1.61622e+007
2.43,1.03375e+007
2.4325,5.5688e+006
2.435,2.45498e+006
2.4375,858907
2.44,230673
2.4425,45711
2.445,6105
2.4475,565
2.45,27
2.4525,0
2.455,0
2.4575,0
2.46,0
2.4625,0
2.465,0
2.4675,0
2.47,0
2.4725,0
2.475,0
2.4775,0
2.48,0
2.4825,0
2.485,0
2.4875,0
2.49,0
2.4925,0
2.495,0
2.4975,0
